Sample Number,Follow Number,Date_Collected,Who_Collected,Time_Collected,Cold_Thermos,Dirt_Fecal,First_Urine_Day,CAMP/LAB_specgravitymeter,Site,Species,Age_Class,8OHdG_Result,tblAnalysis_8-OHdG.CV,tblAnalysis_8-OHdG.Status,TAC_Result,tblAnalysis_TAC.CV,tblAnalysis_TAC.Status,Neopterin_Result,tblAnalysis_Neopterin.CV,tblAnalysis_Neopterin.Status,Cortisol_Result,tblAnalysis_Cortisol.CV,tblAnalysis_Cortisol.Status
843,7020,2-May-15,Abuk,5:31:00 AM,TRUE,TRUE,FALSE,1.014,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,162.28,2.4,ok,,,
844,7021,3-May-15,Abuk,4:44:00 AM,TRUE,FALSE,TRUE,1.011,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,3.362,10.7,ok,1.254,3.7,ok,177.961,7.3,ok,44482.041,2.1,ok
845,7023,3-May-15,Allie,9:01:00 AM,TRUE,FALSE,FALSE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,149.84,5.5,ok,2181.611,1.1,ok
846,7024,4-May-15,Abuk,6:54:00 AM,TRUE,FALSE,FALSE,1.003,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,180.26,1.9,ok,,,
847,7025,4-May-15,Allie,2:45:00 PM,TRUE,FALSE,FALSE,1.018,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,226.28,3.6,ok,11550.59,0.3,ok
848,7026,4-May-15,Suwi,6:06:00 AM,TRUE,TRUE,FALSE,1.011,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,,,,,121.407,4.2,ok,7348.8,12,ok
850,7030,5-May-15,Isman,7:25:00 AM,TRUE,FALSE,FALSE,1.011,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,,,,,40.219,12.8,ok,4500.055,10.1,ok
851,7031,5-May-15,Suwi,5:13:00 AM,TRUE,FALSE,FALSE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,,,,,239.26,6.5,ok,8452.287,8.8,ok
852,7034,6-May-15,Isman,4:25:00 AM,TRUE,FALSE,TRUE,1.034,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,15.995,0.2,ok,5.125,5.1,ok,577.42,6.4,ok,26778.93,8.7,ok
853,7033,6-May-15,Hesti,8:40:00 AM,TRUE,FALSE,FALSE,1.012,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,,,,,861.31,5,ok,7573.097,1.7,ok
854,7035,7-May-15,Abuk,5:38:00 AM,TRUE,FALSE,TRUE,1.022,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,27.98,5.9,ok,5.43,0.4,ok,479.034,7.1,ok,20485.88,9.5,ok
855,7039,8-May-15,Suwi/Isman,4:54:00 AM,TRUE,TRUE,TRUE,1.022,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,9.013,5.6,ok,3.36,1.2,ok,221.9,6.7,ok,3362.287,17.8,rerun
