"follow_number","date","year","month","day","name_focal","class_focal","sex_focal","age_category","follow_type","length_active_period_min","ap_kcal","prev_day_ap_kcal","lipid_kcal","prev_day_lipid_kcal","tnc_kcal","prev_day_tnc_kcal","ndf_kcal_low","prev_day_ndf_kcal_low","total_kcal_using_ap_low_fermentation","prev_day_total_kcal_using_ap_low_fermentation","total_kcal_npe_low_fermentation","prev_day_total_kcal_npe_low_fermentation","npe_to_ap","lipid_to_ap","lipid_to_tnc","lipid_to_ndf_low","tnc_to_ap","tnc_to_ndf_low","ap_to_ndf_low","percent_ap","percent_lipid","percent_ndf_low","percent_tnc","fai","hi_low_quartile","fruit_category_quartiles"
1431,2006-01-16,2006,1,16,"Bobo","adult_flanged_male","male","adult","N-N",586,150.192750013615,NA,450.131878215235,NA,2412.48892167279,NA,446.585188205937,NA,3459.39873810758,NA,3309.20598809396,NA,22.0330607688718,2.99702800684074,0.186584018758154,1.00794179946618,16.0626190109316,5.40208001829273,0.336313773900526,4.34158538474164,13.0118529921611,12.9093296845635,69.7372319385337,11.22047244,"high","high"
1434,2006-01-17,2006,1,17,"Bobo","adult_flanged_male","male","adult","N-N",628,129.559623776405,150.192750013615,354.552598598452,450.131878215235,1566.87600692268,2412.48892167279,179.450127326309,446.585188205937,2230.43835662384,3459.39873810758,2100.87873284744,3309.20598809396,16.2155359178346,2.73659793278145,0.226279933467606,1.97577234344192,12.0938604269707,8.73154023498405,0.721981230700473,5.8087067679609,15.8960949333354,8.0455093857845,70.2496889129192,11.22047244,"high","high"
1435,2006-01-18,2006,1,18,"Bobo","adult_flanged_male","male","adult","N-N",640,257.061858811584,129.559623776405,328.161949625538,354.552598598452,2170.99282701652,1566.87600692268,429.567042192149,179.450127326309,3185.78367764579,2230.43835662384,2928.7218188342,2100.87873284744,11.393062480657,1.27658747642554,0.151157546695589,0.763936516057833,8.44541013222723,5.05390920108208,0.598420813430557,8.06903056900417,10.3008233712856,13.4838735349912,68.1462725247191,11.22047244,"high","high"
1436,2006-01-19,2006,1,19,"Bobo","adult_flanged_male","male","adult","N-N",670,207.728545153577,257.061858811584,408.746936291154,328.161949625538,2506.85595056012,2170.99282701652,525.604084989116,429.567042192149,3648.93551699397,3185.78367764579,3441.20697184039,2928.7218188342,16.5658839486709,1.96769748706881,0.16305162496466,0.777670775332002,12.0679415951561,4.76947577493053,0.395218665695641,5.69285327696626,11.201813087338,14.4043127794737,68.7010208562221,11.22047244,"high","high"
1751,2006-06-30,2006,6,30,"Bobo","adult_flanged_male","male","adult","N-N",598,107.745003464064,NA,490.581198840468,NA,438.63186641438,NA,153.419432417065,NA,1190.37750113598,NA,1082.63249767191,NA,10.0480993351399,4.55316889941991,1.11843492551225,3.19764707189661,4.07101816615259,2.85903721258709,0.702290458037698,9.05133063765429,41.2122371577341,12.8883007508674,36.8481314537442,3.618421053,"low","medium"
2298,2006-07-01,2006,7,1,"Bobo","adult_flanged_male","male","adult","N-N",464,105.642324538538,107.745003464064,62.542819145514,490.581198840468,314.898799387667,438.63186641438,72.9035645231453,153.419432417065,555.987507594865,1190.37750113598,450.345183056327,1082.63249767191,4.26292383307071,0.592024261286472,0.19861244078139,0.857884241389294,2.98080149942926,4.3193882418149,1.44906940050921,19.0008450001933,11.2489612250582,13.1124465077493,56.6377472669991,2.570863546,"low","low"
4666,2011-11-17,2011,11,17,"Bobo","adult_flanged_male","male","adult","N-N",694,367.465917553652,NA,792.440721363281,NA,1989.4608405072,NA,371.446986327063,NA,3520.8144657512,NA,3153.34854819754,NA,8.58133611190523,2.15650127946241,0.398319336188217,2.13338847946805,5.41400098749765,5.35597518283662,0.989282269287534,10.4369577303259,22.5073126991429,10.5500301120755,56.5056994584556,6.810442679,"high","high"
5696,2013-08-22,2013,8,22,"Bobo","adult_flanged_male","male","adult","N-N",728,300.733303807919,NA,377.675819231509,NA,5344.27066678127,NA,1171.44317375189,NA,7194.12296357258,NA,6893.38965976466,NA,22.9219363884205,1.2558496662968,0.0706692910557568,0.322402168277522,17.7707975774931,4.56212540781189,0.256720351909802,4.18026360309215,5.24978265097594,16.2833354348193,74.2866183111126,3.121319199,"low","medium"
5699,2013-08-23,2013,8,23,"Bobo","adult_flanged_male","male","adult","N-N",594,151.337730242671,300.733303807919,158.836029348701,377.675819231509,2513.30816990236,5344.27066678127,547.448641486674,1171.44317375189,3370.9305709804,7194.12296357258,3219.59284073773,6893.38965976466,21.274224448689,1.04954679242252,0.0631979918940348,0.290138685735632,16.6072807215507,4.59094786147813,0.276441877418295,4.48949413391971,4.71193416785516,16.2402823184654,74.5582893797598,3.121319199,"low","medium"
6302,2014-06-11,2014,6,11,"Bobo","adult_flanged_male","male","adult","N-N",588,115.397745985848,NA,131.19337475733,NA,436.460878195342,NA,118.185540656994,NA,801.237539595513,NA,685.839793609665,NA,5.94326854264358,1.13687987262263,0.300584499806219,1.1100628217972,3.78223053203195,3.69301418573757,0.976411711148012,14.4024387629296,16.3738427462547,14.7503748659426,54.473343624873,3.126879134,"low","medium"
